Справа № 503/539/24
Провадження № 3/503/549/24
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
11 березня 2024 року м. Кодима
Суддя Кодимського районного суду Одеської області Калашнікова Т. О., розглянувши у відкритому судовому засіданні в залі суду матеріали справи про притягнення до адміністративної відповідальності ОСОБА_1, ІНФОРМАЦІЯ_1, громадянина України, уродженця с. Стецьківка Сумського району, Сумської області та проживаючого в АДРЕСА_1, не працюючого,
- за ч. 1 ст. 204-1 Кодексу України про адміністративні правопорушення,
ВСТАНОВИВ:
Як встановлено судом, 06.03.2024 року о 12 год. 20 хв. ОСОБА_1 незаконно намагався перетнути державний кордон на вихід з України в (Республіку Молдова), на відстані близько 5000 метрів від лінії державного кордону України в районі пп/зн 0280, в напрямку с. Олександрівка Подільського району Одеської області (Україна) - с. Плоть (Республіка Молдова), поза встановленими пунктами пропуску через державний кордон Українив пішому порядку з документами, що посвідчують його особу, своїми діями порушив вимоги ст.9 Закону України «Про державний кордон України» від 04.11.1991 року та вчинив правопорушення, передбачене ч.1 ст.204-1 КУпАП.
ОСОБА_1 в судове засідання не зʼявився, про дату, час та місце розгляду адміністративної справи ознайомлений під особистий підпис у протоколі під час його складання. Натомість, ОСОБА_1 в заяві, що міститься в матеріалах справи, свою вину у спробі незаконного перетину державного кордону України визнав та просив розглянути справу у його відсутність.
Разом з тим, рішеннями Європейського суду з прав людини визначено, що сторона, яка задіяна в ході судового розгляду справи, зобовʼязана з розумним інтервалом часу сама цікавитися провадженням у її справі, добросовісно користуватися належними їй процесуальними правами та неухильно виконувати процесуальні обовʼязки. Зокрема, Європейський суд з прав людини в рішенні від 07.07.1989 року у справі «Юніон Аліментаріа Сандерс С. А. проти Іспанії» зазначив, що заявник зобовʼязаній демонструвати готовність брати участь на всіх етапах розгляду, що стосуються безпосередньо його, утримуватися від використання прийомів, які повʼязані із зволіканням у розгляді справи, а також максимально використовувати всі засоби внутрішнього законодавства для прискорення процедури слухання.
Відповідно до ч.2 ст.268 КУпАП при розгляді справ про адміністративні правопорушення, передбачені ч.1 ст.204-1 КУпАП цього ж Кодексу, пристуність особи, яка притягується до адміністративної відповідальності не є обовʼязковою.
У звʼязку з цим, вважаю за можливе розглянути дану справу у відсутність ОСОБА_1 враховуючи, що права та законні інтереси особи, яка притягується до адміністративної відповідльаності, у даному випадку, жодним чином не будуть порушені.
Крім особистого визнання, вина ОСОБА_1 у вчиненні адміністративного правопорушення, передбаченого ч.1 ст. 204-1 КУпАП, підтверджується даними протоколу про адміністративне правопорушення серії ПдРУ № 290376 від 06 березня 2024 року, в якому зафіксовано факт спроби незаконного перетинання державного кордону України, (а.с.2); рапортом інспектора прикордонної служби 1 категорії групи моніторингу обстановки відділення інспекторів прикордонної служби «ІНФОРМАЦІЯ_2» відділу прикордонної служби «ІНФОРМАЦІЯ_3» (тип Б) старшого сержанта ОСОБА_2; письмовою заявою ОСОБА_1 від 06.03.2024 року; письмовим поясненням ОСОБА_1 від 06.03.2024 року, в якому підтвердив, що мав намір перетнути державний кордон України до Республіки Молдова; схемою затримання з фотоілюстраціями щодо незаконного перетинання державного кордону з Україну в Республіки Молдова від 06.03.2024 року.
Дослідивши, оцінивши та проаналізувавши письмові докази, які містяться в матеріалах справи з точки зору їх належності, допустимості та достатності, суддя дійшов до переконання про наявність вини ОСОБА_1 у вчиненні адміністративного правопорушення, передбаченого ч.1 ст.204-1 КУпАП.
З огляду на вищевикладене, враховуючи характер вчиненого правопорушення, особу порушника, ступінь його вини та майновий стан, а також ту обставину, що в Україні діє військовий стан, вважаю за доцільне застосувати до нього адміністративне стягнення у виді штрафу в максимальному розмірі, визначеному санкцією ч.1 ст.204-1 КУпАП, що за своїм видом та мірою відповідає завданню та меті накладення адміністративного стягнення і є необхідним та достатнім для виховання особи, яка вчинила адміністративне правопорушення, а також сприяє запобіганню вчиненню правопорушень як самим правопорушником, так і іншими особами.
Керуючись ст.ст.33, 34, ч.1 ст. 204-1, ст.ст.283-285 КУпАП, суддя -
ПОСТАНОВИВ:
ОСОБА_1 визнати винним у вчиненні правопорушення, передбаченого ч.1 ст.204-1 КУпАП і застосувати до нього адміністративне стягнення у виді штрафу в розмірі 500 неоподатковуваних мінімумів доходів громадян, що становить 8 500 (вісім тисяч п ятсот) грн.
Розʼяснити правопорушнику, що штраф має бути сплачений ним не пізніше як через пʼятнадцять днів з дня вручення йому постанови, з наданням до суду в цей строк документа, який підтверджує його сплату. У разі несплати штрафу, постанову про його накладення буде звернуто для примусового виконання, а з порушника стягнуто подвійний розмір штрафу.
Стягнути з ОСОБА_1 судовий збір, в розмірі 605 (шістсот пʼять) грн. 60 коп.
Постанова може бути оскаржена до Одеського апеляційного суду, через Кодимський районний суд Одеської області, протягом десяти днів з дня її винесення.
Суддя
Кодимського районного суду Т. О. Калашнікова
=== ENTITIES ===
1:10    CASE_NUMBER        503/539/24
5:1     HEARING_DATE       11 березня 2024
6:7     COURT_RAYON        Кодимського
6:34    COURT_OBLAST       Одеської
6:231   CITIZEN            України
6:253   BIRTH_SETTL        Стецьківка
6:264   BIRTH_RAYON        Сумського
6:282   BIRTH_OBLAST       Сумської
9:23    ARR_DATE           06.03.2024
9:41    ARR_TIME           12 год. 20 хв.
9:133   BORDER_CNTRY       Республіку Молдова
9:174   DIST               5000 метрів
9:238   ZNAK               0280
9:258   SETTL_FROM         Олександрівка
9:272   ARR_RAYON          Подільського
9:292   ARR_OBLAST         Одеської
9:310   SETTL_CNTRY        Україна
9:324   SETTL_TO           Плоть
9:331   SETTL_CNTRY        Республіка Молдова
14:194  PROTOCOL           ПдРУ № 290376
14:212  PROTO_DATE         06 березня 2024
14:452  VPS                ІНФОРМАЦІЯ_2
14:495  VPS                ІНФОРМАЦІЯ_3
14:711  BORDER_CNTRY       Республіки Молдова
14:828  BORDER_CNTRY       Республіки Молдова
19:140  RESOLUTION         штрафу
19:220  FINE               8 500
24:1    COURT_RAYON        Кодимського
