Справа № 717/3108/24
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
16 грудня 2024 року суддя Кельменецького районного суду Чернівецької області Туржанський В. В., розглянув справу про притягнення до адміністративної відповідальності за ч.1 ст.204-1 КУпАП громадянина України ОСОБА_1 ІНФОРМАЦІЯ_1, жителя АДРЕСА_1, непрацюючого.
ВСТАНОВИВ:
ОСОБА_1 24 листопада 2024 року біля 22 години, незаконно, поза пунктом пропуску через державний кордон, вчинив спробу перетнути державний кордон України з території України на територію Молдови і був затриманий прикордонним нарядом на напрямку с. Бабин Дністровського району Чернівецької області с. Гріманкауць Бричанського району Республіки Молдова, на околиці с. Бабин Дністровського району Чернівецької області, на відстані 12000 метрів від лінії державного кордону.
ОСОБА_1 в судове засідання не зʼявився. У матеріалах справи наявна заява ОСОБА_1 у якій він зазначив, що повідомлений про те, що справа буде розглядатися Кельменецьким районним судом о 14 годині 30 хвилин 16 грудня 2024 року, просить розглянути справу за його відсутності, вину в скоєнні правопорушення визнає. Як вбачається з матеріалів справи, в протоколі про адміністративне правопорушення міститься підпис особи, яка притягається до адміністративної відповідальності ОСОБА_1, про отримання другого примірнику протоколу та про ознайомлення в цілому зі змістом протоколу та зокрема, з датою, часом та місцем розгляду означеного протоколу, в приміщенні Кельменецького районного суду. З огляду на зазначене, останній був обізнаний про складені відносно нього протокол, дату та час його судового розгляду. Враховуючи викладене, у суду є всі правові підстави розглянути означений протокол про адміністративне правопорушення відносно ОСОБА_1 саме 16 грудня 2024 року. Будь-які заяви чи клопотання ОСОБА_1 до Кельменецького районного суду не надходили.
Вина ОСОБА_1 у вчиненому правопорушенні стверджується протоколом про адміністративне правопорушення серії ЗхРУ № 002331Е від 24 листопада 2024 року.
Відповідно до ст. 251 КУпАП, доказами в справі про адміністративне правопорушення є будь-які фактичні дані, на підставі яких у визначеному законом порядку встановлюється наявність чи відсутність адміністративного правопорушення, винність даної особи та інших обставин справи, що мають значення для її правильного вирішення. Ці фактичні дані встановлюються протоколом про адміністративне правопорушення, поясненнями особи, яка притягається до адміністративної відповідальності, потерпілих, свідків, речовими доказами, а також іншими документами.
Протокол про адміністративне правопорушення відповідає вимогам ст. 256 КУпАП, оформлений компетентним органом в межах повноважень, наданих особі, яка його склала, чітко викладено суть правопорушення. Крім того, ОСОБА_1 власноруч підписав протокол, цим самим погодився з його змістом, отримав копію протоколу, у якому зазначено час та місце розгляду справи, та підтвердив правильність написаних про нього даних.
При накладенні на ОСОБА_1 адміністративного стягнення враховується характер скоєного правопорушення, особа порушника, ступінь його вини та інші обставини справи.
Враховуючи вищенаведене вважаю, що на ОСОБА_1 слід накласти стягнення у виді штрафу.
Керуючись ст.ст.280, 283, 284 КУпАП, суддя, -
ПОСТАНОВИВ:
ОСОБА_1 визнати винним у вчиненні правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП та накласти на нього стягнення у виді штрафу у розмірі 200 (двохсот) неоподаткованих мінімумів доходів громадян, що становить 3400 (три тисячі чотириста) гривень.
Стягнути з ОСОБА_1 на користь держави 605 (шістсот пʼять) гривень 60 (шістдесят) копійок судового збору.
Штраф має бути сплачений порушником не пізніш як через пʼятнадцять днів з дня вручення йому постанови про накладення штрафу, крім випадків, передбачених статтею 300-1 КУпАП, а в разі оскарження такої постанови - не пізніш як через пʼятнадцять днів з дня повідомлення про залишення скарги без задоволення. Штраф, накладений за вчинення адміністративного правопорушення, вноситься порушником в установу банку України.
У разі несплати правопорушником штрафу у строк, установлений частиною першою статті 307 цього Кодексу, постанова про накладення штрафу надсилається для примусового виконання до органу державної виконавчої служби за місцем проживання порушника, роботи або за місцезнаходженням його майна в порядку, встановленому законом.
У порядку примусового виконання постанови про стягнення штрафу за вчинення адміністративного правопорушення з правопорушника стягується подвійний розмір штрафу, визначеного у відповідній статті цього Кодексу та зазначеного у постанові про стягнення штрафу та витрати на облік зазначених правопорушень.
Постанова набирає законної сили після закінчення строку подання апеляційної скарги. Постанова судді у справі про адміністративне правопорушення може бути оскаржена особою, яку притягнуто до адміністративної відповідальності, її законним представником, захисником, потерпілим, його представником протягом десяти днів з дня винесення постанови. Апеляційна скарга подається до Чернівецького апеляційного суду через Кельменецький районний суд.
СУДДЯ:
=== ENTITIES ===
1:10    CASE_NUMBER        717/3108/24
4:1     HEARING_DATE       16 грудня 2024
4:27    COURT_RAYON        Кельменецького
4:57    COURT_OBLAST       Чернівецької
4:201   CITIZEN            України
6:9     ARR_DATE           24 листопада 2024
6:37    ARR_TIME           22 години
6:187   BORDER_CNTRY       Молдови
6:248   ARR_SETTL          Бабин
6:254   ARR_RAYON          Дністровського
6:276   ARR_OBLAST         Чернівецької
6:332   BORDER_CNTRY       Республіки Молдова
6:352   ARR_PLACE          на околиці
6:366   ARR_SETTL          Бабин
6:372   ARR_RAYON          Дністровського
6:394   ARR_OBLAST         Чернівецької
6:428   DIST               12000 метрів
7:186   ARR_TIME           14 годині 30 хвилин
7:945   ARR_DATE           16 грудня 2024
8:107   PROTOCOL           ЗхРУ № 002331Е
8:126   PROTO_DATE         24 листопада 2024
15:124  RESOLUTION         штрафу
15:212  FINE               3400
