Справа № 297/2969/24
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
08 липня 2024 року м. Берегове
Суддя Берегівського районного суду Закарпатської області Фейір О. О., розглянувши матеріали, що надійшли з відділу прикордонної служби " ІНФОРМАЦІЯ_1 " ІНФОРМАЦІЯ_2 про притягнення до адміністративної відповідальності:
ОСОБА_1, ІНФОРМАЦІЯ_3, уродженця м. Ялта АРК Крим, мешканця АДРЕСА_1, із середньою освітою, не працюючого, не одруженого, громадянина України,
за ч. 2 ст. 204-1 КУпАП,
встановив:
29 червня 2024 року, близько 17:20 год., прикордонним нарядом "Група реагування" на напрямку 203 прикордонного знаку, на околиці населеного пункту Дийда (територія Великобийганської обʼєднаної територіальної громади Берегівського району Закарпатської області), в межах прикордонної смуги, на відстані близько 200 метрів від лінії державного кордону України, було виявлено та затримано громадянина України ОСОБА_1, ІНФОРМАЦІЯ_3, спільно з 16-ма громадянами України при здійсненні спроби незаконного перетину державного кордону із України в Угорщину поза пунктами пропуску через державний кордон України.
Особа, яка притягається до адміністративної відповідальності ОСОБА_1 в судове засідання не зʼявився, однак в матеріалах справи міститься його заява від 29.06.2024, згідно якої такий просив справу розглянути без його участі, свою вину у вчиненні адміністративного правопорушення визнає повністю (а.с. 6).
Дослідивши матеріали справи вважаю, що в діях особи, яка притягається до адміністративної відповідальності ОСОБА_1 вбачається склад адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП.
Винність ОСОБА_1 у вчиненні ним адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП підтверджується повністю матеріалами справи, дослідженими в ході судового розгляду справи, зокрема, протоколом про адміністративне правопорушення серії ЗхРУ № 142651 від 29.06.2024, поясненнями особи, яка притягається до адміністративної відповідальності ОСОБА_1 від 29.06.2024 та письмовими поясненнями ОСОБА_2 від 29.06.2024, що знаходяться в матеріалах справи (а.с. 1-3).
На підставі вищевикладеного вважаю, що вина ОСОБА_1 у вчиненні адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП доведена матеріалами справи і дії останнього слід кваліфікувати за ч. 2 ст. 204-1 КУпАП, як спроба незаконного перетинання державного кордону України поза пунктами пропуску через державний кордон України, вчинена групою осіб.
Враховуючи особу винного, а також те, що ОСОБА_1 згідно матеріалів справи свою вину у вчиненні адміністративного правопорушення визнав, до адміністративної відповідальності притягається вперше, вважаю застосувати відносно нього адміністративне стягнення в межах санкції ч. 2 ст. 204-1 КУпАП у виді штрафу, у розмірі шестисот неоподатковуваних мінімумів доходів громадян, що є необхідним та буде достатнім для його виправлення та попередження вчинення ним в майбутньому нових правопорушень.
Крім того, відповідно до п. 5 ч. 2 ст. 4 Закону України «Про судовий збір», вважаю стягнути з ОСОБА_1 в користь держави судовий збір в розмірі 605, 60 грн..
На підставі наведеного, керуючись ст. 204-1, ст. ст. 283, 284 КУпАП,-
ПОСТАНОВИВ:
Визнати винним ОСОБА_1 у вчиненні адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП і накласти відносно нього адміністративне стягнення у виді штрафу, у розмірі 600 (шестисот) неоподатковуваних мінімумів доходів громадян, що становить 10 200 (десять тисяч двісті) гривень.
Стягнути з ОСОБА_1 в користь держави судовий збір в розмірі 605 (шістсот пʼять) гривень 60 копійок.
Постанова може бути оскаржена протягом десяти днів з дня її винесення до Закарпатського апеляційного суду.
Суддя Олександр ФЕЙІР
=== ENTITIES ===
1:10    CASE_NUMBER        297/2969/24
4:1     HEARING_DATE       08 липня 2024
5:7     COURT_RAYON        Берегівського
5:36    COURT_OBLAST       Закарпатської
5:138   VPS                ІНФОРМАЦІЯ_1
6:37    BIRTH_SETTL        Ялта
6:42    BIRTH_OBLAST       АРК Крим
6:135   CITIZEN            України
9:1     ARR_DATE           29 червня 2024
9:30    ARR_TIME           17:20 год.
9:64    GUARD              Група реагування
9:94    ZNAK               203
9:119   ARR_PLACE          на околиці
9:148   ARR_SETTL          Дийда
9:165   ARR_GROMADA        Великобийганської
9:217   ARR_RAYON          Берегівського
9:238   ARR_OBLAST         Закарпатської
9:310   DIST               200 метрів
9:398   CITIZEN            України
9:540   BORDER_CNTRY       Угорщину
12:254  PROTOCOL           ЗхРУ № 142651
12:272  PROTO_DATE         29.06.2024
18:163  RESOLUTION         штрафу
18:255  FINE               10 200
