Справа № 308/7900/23
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
25.05.2023 м. Ужгород
Суддя Ужгородського міськрайонного суду Закарпатської області Сарай А. І., розглянувши справу про адміністративне правопорушення, що надійшла з відділу прикордонної служби «ІНФОРМАЦІЯ_1» відділення інспекторів прикордонної служби «ІНФОРМАЦІЯ_2» ІНФОРМАЦІЯ_3, відносно ОСОБА_1, ІНФОРМАЦІЯ_4, громадянки України, що проживає за адресою: АДРЕСА_1, за ч. 1 ст. 204-1 КУпАП,
ВСТАНОВИВ:
09.05.2023, о 21 год. 20 хв., в міжнародному пункті пропуску для автомобільного сполучення «Чоп (Тиса)» вʼїзд в Україну прибула громадянка, яка на паспортний контроль предʼявила посвідку особи на повернення в Україну серії НОМЕР_1, видану 09.05.2023, дійсну до 08.06.2023, видану органом 3HUN1, під час здійснення прикордонного контролю прикордонним нарядом «Перевірка документів» та під час здійснення фільтраційно-перевірочних заходів шляхом проведення опитування було встановлено, що ОСОБА_1, ІНФОРМАЦІЯ_4, незаконно перетнула державний кордон на виїзд з України 12.07.2022 в пункті пропуску «Дзвінкове», використовуючи паспорт громадянки Угорщини, виданий на імʼя ОСОБА_2, ІНФОРМАЦІЯ_4, серії НОМЕР_2. Своїми діями ОСОБА_1 порушила вимоги п. 2 Правил перетинання державного кордону громадянами України», затверджених постановою Кабінету Міністрів України від 27.01.1995 № 57, та вимоги п. 9 Закону України «Про Державний кордон України».
ОСОБА_1 у судове засідання, призначене на 25.05.2023 не зʼявилася, хоча про час і місце розгляду справи повідомлялася належним чином, при цьому подала заяву про розгляд справи без її участі у звʼязку з сімейними обставинами.
Розглянувши дану справу, вважаю, що у діях ОСОБА_1 є склад адміністративного правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП перетинання державного кордону України в пунктах пропуску через державний кордон України без відповідних документів.
Вина ОСОБА_1 у вчиненні правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП, стверджується протоколом про адміністративне правопорушення ЗхРУ № 012289 від 09.05.2023, протоколом про адміністративне затримання від 09.05.2023, протоколом особистого огляду, огляду речей та вилучення речей і документів від 09.05.2023, рапортом інспектора прикордонної служби другої категорії 1 групи ІПК ВІПС «Тиса» (тип А) Загребайленко Т. від 09.05.2023, рапортом начальника 4 групи прикордонного контролю ІПС «Тиса» (тип А) Пастушок Р. від 09.05.2023, витягом з бази даних «Ризик» щодо перетину державного кордону України від 09.05.2023, письмовими поясненнями ОСОБА_1 від 09.05.2023.
Обираючи адміністративне стягнення ОСОБА_1, у відповідності до вимог ст. 33 КУпАП, враховую характер вчиненого правопорушення, ступінь її вини та вважаю необхідним накласти на неї адміністративне стягнення, передбачене санкцією ч. 1 ст. 204-1 КУпАП, яка є альтернативною, у виді штрафу в розмірі двохсот неоподатковуваних мінімумів доходів громадян.
Відповідно до ст. 40-1 КУпАП, п. 5 ч. 2 ст. 4 Закону України «Про судовий збір» з ОСОБА_1 підлягає стягненню судовий збір у сумі 536,80 грн.
Керуючись ст. ст. 33, 204-1, 283, 284 КУпАП,
ПОСТАНОВИВ:
ОСОБА_1, ІНФОРМАЦІЯ_4, визнати винною у вчиненні адміністративного правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП, та накласти на неї адміністративне стягнення у виді штрафу в розмірі двохсот неоподатковуваних мінімумів доходів громадян, що становить 3400 (три тисячі чотириста) гривень.
Стягнути з ОСОБА_1, ІНФОРМАЦІЯ_4, на користь держави 536 (пʼятсот тридцять шість) гривень 80 коп. судового збору.
Постанова про адміністративне правопорушення може бути оскаржена до Закарпатського апеляційного суду через Ужгородський міськрайонний суд Закарпатської області протягом десяти днів з дня її винесення.
Постанова судді у справах про адміністративне правопорушення набирає законної сили після закінчення строку подання апеляційної скарги.
Постанова може бути предʼявлена до виконання протягом трьох місяців.
Суддя Ужгородського міськрайонного суду
Закарпатської області А. І. Сарай
=== ENTITIES ===
1:10    CASE_NUMBER        308/7900/23
4:1     HEARING_DATE       25.05.2023
5:7     COURT_RAYON        Ужгородського
5:41    COURT_OBLAST       Закарпатської
5:174   VPS                ІНФОРМАЦІЯ_1
5:232   VPS                ІНФОРМАЦІЯ_2
5:303   CITIZEN            України
7:1     ARR_DATE           09.05.2023
7:15    ARR_TIME           21 год. 20 хв.
7:31    ARR_PLACE          в міжнародному пункті пропуску для автомобільного сполучення «Чоп (Тиса)»
7:360   GUARD              Перевірка документів
7:567   PROTO_DATE         12.07.2022
7:578   ARR_PLACE          в пункті пропуску «Дзвінкове»
7:643   PASSPORT           Угорщини
10:137  PROTOCOL           ЗхРУ № 012289
10:155  PROTO_DATE         09.05.2023
10:213  DET_DATE           09.05.2023
10:391  VPS                Тиса
10:494  VPS                Тиса
15:172  RESOLUTION         штрафу
15:256  FINE               3400
20:7    COURT_RAYON        Ужгородського
21:1    COURT_OBLAST       Закарпатської
