Справа № 305/322/24
Номер провадження 3/305/247/24
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
26.02.2024. Суддя Рахівського районного суду Закарпатської області Ємчук В. Е., розглянувши матеріали, які надійшли від відділення інспекторів прикордонної служби «ІНФОРМАЦІЯ_1» відділу прикордонної служби " ІНФОРМАЦІЯ_2 " ІНФОРМАЦІЯ_3 про притягнення до адміністративної відповідальності
ОСОБА_1, ІНФОРМАЦІЯ_4, громадянина України, уродженця м. Червоноград, Львівської області, мешканця АДРЕСА_1, тимчасово непрацюючого,-
за ч.1 ст.204-1 Кодексу України про адміністративні правопорушення, -
ВСТАНОВИВ:
З відділення інспекторів прикордонної служби «ІНФОРМАЦІЯ_1» відділу прикордонної служби " ІНФОРМАЦІЯ_2 " ІНФОРМАЦІЯ_3 надійшов протокол про адміністративне правопорушення, складений відносно ОСОБА_1, про вчинення ним адміністративного правопорушення відповідальність за яке передбачено ч. 1 ст. 204-1 КУпАП.
З протоколу про адміністративне правопорушення серії ЗхРУ № 149172 від 20.01.2024, вбачається, що ОСОБА_1, 19 січня 2024 року, близько 19 години 50 хвилин, був виявлений та в подальшому затриманий у контрольованому прикордонному районі на напрямку прикордонного знаку № 410, поблизу залізничної станції н.п. Кваси (територія Ясінянської селищної громади Рахівського району, Закарпатської області) прикордонним нарядом "Група реагування", під час спроби незаконного перетинання державного кордону з України до Румунії, поза встановленими пунктами пропуску через державний кордон України. Дії ОСОБА_1 кваліфіковано за ч.1 ст. 204-1 КУпАП.
ОСОБА_1 у судове засідання повторно не зʼявився. Про день, час та місце судового засідання повідомлений належним чином.
Відповідно до вимог частини 2 статті 277 КУпАП справи про адміністративні правопорушення, в тому числі, передбачені ст.204-1 КУпАП, розглядаються протягом доби.
Дослідивши матеріали справи про адміністративне правопорушення, суддя приходить до наступних висновків.
Як вбачається з вищезазначеного протоколу ЗхРУ № 149172 від 20.01.2024, ОСОБА_1, вчинив адміністративне правопорушення, за яке передбачена відповідальність за ч.1 ст.204-1 КУпАП.
Так, відповідальність за ч.1 ст.204-1 КУпАП настає за перетинання або спробу перетинання державного кордону України будь-яким способом поза пунктами пропуску через державний кордон України або в пунктах пропуску через державний кордон України без відповідних документів або з використанням підробленого документа чи таких, що містять недостовірні відомості про особу, чи без дозволу відповідних органів влади.
Виходячи з положень частини 1 статті 204-1 КУпАП вбачається, що обʼєктивну сторону даного правопорушення складає саме перетинання або спроба перетинання державного кордону будь-яким способом поза пунктами пропуску.
Згідно протоколу про адміністративне правопорушення, ОСОБА_1 був затриманий, у контрольованому прикордонному районі на напрямку прикордонного знаку № 410, поблизу залізничної станції н.п. Кваси (територія Ясінняської селищної громади Рахівського району Закарпатської області) при спробі незаконного перетину державного кордону України поза пунктами пропуску.
На підтвердження зазначених вище обставин, до протоколу про адміністративне правопорушення надано протокол про адміністративне затримання ОСОБА_1 у якому вказано, що його затримано у встановленій прикордонній смузі на напрямку прикордонного знаку № 410, поблизу залізничної станції н.п. Кваси (територія Ясінянської селищної громади Рахівського району Закарпатської області), 19 січня 2024 року, близько 19 години 50 хвилин, прикордонним нарядом "Група реагування", під час спроби незаконного перетинання державного кордону з України до Румунії, поза встановленими пунктами пропуску через державний кордон України; протокол особистого огляду, огляду речей та вилучення речей і документів; пояснення заступника начальника відділення інспекторів прикордонної служби «ІНФОРМАЦІЯ_1» (ОСОБА_2.
При цьому, з наданих до суду доказів неможливо встановити наявність у діях ОСОБА_1 ознак адміністративного правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП, оскільки суду не надано жодного доказу (фото-, відеофіксації) того, що останній 19.01.2024 року перетинав або здійснив спробу незаконно перетинання державного кордону України будь-яким способом поза пунктами пропуску через державний кордон України.
Разом з цим, матеріали справи не містять жодного доказу того, що ОСОБА_1 було затримано при безпосередній спробі незаконного перетину державного кордону.
При цьому, як вбачається з матеріалів справи, ОСОБА_1 був затриманий на напрямку прикордонного знаку № 410, поблизу залізничної станції н.п. Кваси (територія Ясінянської селищної громади Рахівського району Закарпатської області), на значній відстані від державного кордону.
Також суддя бере до уваги те, що протокол про адміністративне правопорушення складено особою, про яку відсутні дані, а саме докази того, що вона була задіяна на охорону державного кордону (наказ, розпорядження); відсутня схема, де саме мало місце правопорушення, на якій зафіксовані умовні позначки місця вчинення правопорушення, маршрут руху порушника та лінію державного кордону, а також фото чи відео фіксації факту вчинення правопорушення чи інших беззаперечних доказів, які б вказували на причетність та умисел ОСОБА_1 на спробу перетину кордону в такий спосіб, яке ставиться йому у провину.
У відповідності до положень ст. 62 Конституції України обвинувачення не може ґрунтуватися на доказах, одержаних незаконним шляхом, а також на припущеннях. Усі сумніви щодо доведеності вини особи тлумачаться на її користь.
З огляду на викладене, суд приходить до висновку, що в діях ОСОБА_1 відсутня обʼєктивна сторона адміністративного правопорушення, передбаченого ч.1 ст.204-1 КУпАП.
Відповідно до ч.1 ст.9 КУпАП адміністративним правопорушенням (проступком) визнається протиправна, винна (умисна або необережна) дія чи бездіяльність, яка посягає на громадський порядок, власність, права і свободи громадян, на встановлений порядок управління і за яку законом передбачено адміністративну відповідальність.
Відповідно до ст. 280 КУпАП орган (посадова особа) при розгляді справи про адміністративне правопорушення зобовʼязаний зʼясувати, зокрема, чи було вчинено адміністративне правопорушення, чи винна дана особа в його вчиненні та інше.
Виходячи з вище викладеного, суд вважає, що доданими до даного протоколу про адміністративне правопорушення матеріалами винуватість ОСОБА_1, яка є складовою частиною будь-якого складу правопорушення і має бути обовʼязково встановлена при розгляді адміністративних матеріалів, недоведена та не може бути встановлена судом.
Отже, враховуючи зазначене, приймаючи до уваги, що вина ОСОБА_1 є недоведеною та не встановленою, відсутня обʼєктивна сторона адміністративного правопорушення, суд вважає, що у діях останнього відсутній склад правопорушення, передбаченого ч.1 ст.204-1 КУпАП, тому, у відповідності до п.1 ч.1 ст.247 КУпАП, провадження в справі про адміністративне правопорушення відносно ОСОБА_1 підлягає закриттю.
Враховуючи вимоги ст.40-1 КУпАП судовий збір в сумі 605 гривень 60 копійок слід віднести за рахунок держави.
На підставі викладеного, керуючись ст. ст. 9, 10, 172-15, 247, 251, 252, 280, 284 КУпАП, суддя,
ПОСТАНОВИВ:
Справу про адміністративне правопорушення у відношенні ОСОБА_1 за ч.1 ст.204-1 Кодексу України про адміністративні правопорушення, закрити на підставі п.1 ч.1 ст.247 КУпАП у звʼязку з відсутністю у його діях складу адміністративного правопорушення.
Судовий збір у сумі 605 гривень 60 копійок віднести за рахунок держави.
На постанову може бути подана апеляційна скарга до Закарпатського апеляційного суду через Рахівський районний суд Закарпатської області протягом 10 діб з дня її проголошення.
Суддя Рахівського районного суду: В. Е. Ємчук
=== ENTITIES ===
1:10    CASE_NUMBER        305/322/24
5:1     HEARING_DATE       26.02.2024
5:19    COURT_RAYON        Рахівського
5:46    COURT_OBLAST       Закарпатської
5:165   VPS                ІНФОРМАЦІЯ_1
5:209   VPS                ІНФОРМАЦІЯ_2
6:36    CITIZEN            України
6:58    BIRTH_SETTL        Червоноград
6:71    BIRTH_OBLAST       Львівської
9:47    VPS                ІНФОРМАЦІЯ_1
9:91    VPS                ІНФОРМАЦІЯ_2
10:54   PROTOCOL           ЗхРУ № 149172
10:72   PROTO_DATE         20.01.2024
10:108  ARR_DATE           19 січня 2024
10:136  ARR_TIME           19 години 50 хвилин
10:271  ZNAK               410
10:276  ARR_PLACE          поблизу залізничної станції
10:309  ARR_SETTL          Кваси
10:326  ARR_GROMADA        Ясінянської
10:355  ARR_RAYON          Рахівського
10:375  ARR_OBLAST         Закарпатської
10:420  GUARD              Група реагування
10:510  BORDER_CNTRY       Румунії
14:43   PROTOCOL           ЗхРУ № 149172
14:61   PROTO_DATE         20.01.2024
17:151  ZNAK               410
17:156  ARR_PLACE          поблизу залізничної станції
17:189  ARR_SETTL          Кваси
17:206  ARR_GROMADA        Ясінняської
17:235  ARR_RAYON          Рахівського
17:254  ARR_OBLAST         Закарпатської
18:250  ZNAK               410
18:255  ARR_PLACE          поблизу залізничної станції
18:288  ARR_SETTL          Кваси
18:305  ARR_GROMADA        Ясінянської
18:334  ARR_RAYON          Рахівського
18:353  ARR_OBLAST         Закарпатської
18:377  ARR_DATE           19 січня 2024
18:405  ARR_TIME           19 години 50 хвилин
18:448  GUARD              Група реагування
18:538  BORDER_CNTRY       Румунії
18:766  VPS                ІНФОРМАЦІЯ_1
21:104  ZNAK               410
21:109  ARR_PLACE          поблизу залізничної станції
21:142  ARR_SETTL          Кваси
21:159  ARR_GROMADA        Ясінянської
21:188  ARR_RAYON          Рахівського
21:207  ARR_OBLAST         Закарпатської
32:132  RESOLUTION         закрити
35:7    COURT_RAYON        Рахівського
