Справа № 571/2191/24
Провадження № 3/571/1304/2024
ПОСТАНОВА
іменем України
21 жовтня 2024 року с-ще Рокитне
Суддя Рокитнівського районного суду Рівненської області Верзун О. П., за участю законного представника ОСОБА_1 Дифорт М. С., розглянувши справу про адміністративне правопорушення відносно: ОСОБА_1, ІНФОРМАЦІЯ_1, уродженця с. Дроздинь, Рокитнівського району Рівненської області, зареєстрованого та жителя АДРЕСА_1, громадянина України, РНОКПП не відомо, відомості про притягнення до адміністративної відповідальності відсутні,
про вчинення адміністративного правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП,
ВСТАНОВИВ:
03 жовтня 2024 року о 18 год. 00 хв., на території Старосільської ОТГ Сарненського району Рівненської області, на напрямку Старе Село (Україна) - Дзержинськ (Республіка Білорусь) в 5 м від лінії державного кордону України з Республікою Білорусь на п/зн № 0824 в межах прикордонної смуги ОСОБА_1 перетнув державний кордон, поза встановленим пунктом пропуску та був затриманий прикордонним нарядом «Прикордонний патруль», чим порушив вимоги ст. 9 ЗУ «Про державний кордон України».
Дії ОСОБА_1 кваліфіковані ч. 1 ст. 204-1 КУпАП.
ОСОБА_1 під час розгляду справи вину свою визнав повністю. Згідний з обставинами викладеними в протоколі про адміністративне правопорушення та доповнив, що є неповнолітнім, 03.10.2024 збирав клюкву, не помітив як перетнув кордон. Щиро розкаюється. Просить не притягати до відповідальності.
Законний представник ОСОБА_1 - ОСОБА_2 повідомив, що з його дозволу син пішов до лісу для збирання дикоросів, щоб мати кошти на кармані витрати. Був впевнений, що син знає місцевість та те що він збирає ягоди на своїй території. Згодом довідався, що його затримали прикордонники.
Розглянувши протокол про адміністративне правопорушення, заслухавши ОСОБА_1 та ОСОБА_2, дослідивши письмові докази по справі та оцінивши їх в сукупності, суд зазначає наступне.
Відповідальність за ч. 1 ст. 204-1 КУпАП настає у разі перетинання або спроби перетинання державного кордону України будь-яким способом поза пунктами пропуску через державний кордон України або в пунктах пропуску через державний кордон України без відповідних документів або з використанням підробленого документа чи таких, що містять недостовірні відомості про особу, чи без дозволу відповідних органів влади.
Винність ОСОБА_1 у вчиненні адміністративного правопорушення підтверджується протоколом про адміністративне правопорушення ЧЦП № 042559 від 03.10.2024, письмовими поясненнями ОСОБА_1 та ОСОБА_2, рапортом інспектора прикордонної служби 2 категорії Б. Капшій від 03.10.2024, іншими матеріалами справи.
Згідно ч. 1 ст. 13 КУпАП до осіб віком від шістнадцяти до вісімнадцяти років, які вчинили адміністративні правопорушення, застосовуються заходи впливу, передбачені статтею 24-1 цього Кодексу.
Враховуючи характер та небезпечність вчиненого адміністративного правопорушення, особу порушника, який вчинив правопорушення, будучи неповнолітнім, ступінь його вини, те, що вчиненим правопорушенням не завдано шкоди державним та громадським інтересам, а тому суд приходить до висновку відповідно ст. 24-1 КУпАП застосувати заходи впливу: попередження.
Керуючись ст. ст. 24-1, 283, 284 КУпАП,
ПОСТАНОВИВ:
ОСОБА_1 визнати винним у вчиненні адміністративного правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП та відповідно до ст. 24-1 КУпАП застосувати заходи впливу: попередження.
Постанова може бути оскаржена до Рівненського апеляційного суду протягом десяти днів з дня її винесення.
Постанова набирає законної сили після закінчення строку її оскарження.
Суддя:
=== ENTITIES ===
1:10    CASE_NUMBER        571/2191/24
5:1     HEARING_DATE       21 жовтня 2024
6:7     COURT_RAYON        Рокитнівського
6:37    COURT_OBLAST       Рівненської
6:226   BIRTH_SETTL        Дроздинь
6:236   BIRTH_RAYON        Рокитнівського
6:258   BIRTH_OBLAST       Рівненської
6:327   CITIZEN            України
9:1     ARR_DATE           03 жовтня 2024
9:23    ARR_TIME           18 год. 00 хв.
9:52    ARR_GROMADA        Старосільської
9:71    ARR_RAYON          Сарненського
9:91    ARR_OBLAST         Рівненської
9:124   SETTL_FROM         Старе Село
9:136   SETTL_CNTRY        Україна
9:147   SETTL_TO           Дзержинськ
9:159   SETTL_CNTRY        Республіка Білорусь
9:182   DIST               5 м
9:225   BORDER_CNTRY       Республікою Білорусь
9:256   ZNAK               0824
9:398   GUARD              Прикордонний патруль
15:124  PROTOCOL           ЧЦП № 042559
15:141  PROTO_DATE         03.10.2024
20:163  RESOLUTION         попередження
