Справа №: 297/4642/24
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
13 листопада 2024 року м. Берегове
Суддя Берегівського районного суду Закарпатської області Михайлишин В. М., розглянувши матеріали, що надійшли з ВІДДІЛУ ПРИКОРДОННОЇ СЛУЖБИ «ІНФОРМАЦІЯ_1» ІНФОРМАЦІЯ_2 про притягнення до адміністративної відповідальності:
ОСОБА_1, ІНФОРМАЦІЯ_3, мешканця АДРЕСА_1, громадянина України, непрацюючого,
за ч. 1 ст. 204-1 КУпАП,
ВСТАНОВИВ:
Згідно протоколу про адміністративне правопорушення серії ЗхРУ № 137847 від 24.10.2024 року: 24 жовтня 2024 року близько 03 години 05 хвилин прикордонним нарядом «Група реагування» на напрямку 328 прикордонного знаку на околиці населеного пункту Бадів (територія Батівської обʼєднаної територіальної громади Берегівського району Закарпатської області) на відстані 100 м від державного кордону було виявлено та затримано громадянина України ОСОБА_1, який здійснив спробу незаконного перетину державного кордону з України в Угорщину поза пунктами пропуску через державний кордон, в пішому порядку.
Своїми діями громадянин України ОСОБА_1 порушив вимоги ст.ст. 9, 12 Закону України «Про державний кордон України», тобто вчинив адміністративне правопорушення, відповідальність за яке передбачена ч. 1 ст. 204-1 КУпАП.
В суд ОСОБА_1 доставлений не був. Про місце, дату і час розгляду справи був повідомлений належним чином. При цьому, до матеріалів справи про адміністративне правопорушення було долучено заяву ОСОБА_1, в якій останній просив розглянути справу без його участі, свою провину визнав повністю.
У відповідності до ч. 2 ст. 268 КУпАП присутність особи, яка притягається до адміністративної відповідальності під час розгляду даної справи не є обовʼязковою.
Перевіривши матеріали справи, а саме: протокол про адміністративне правопорушення від 24.10.2024 року; протокол про адміністративне затримання від 24.10.2024 року; копію паспорта громадянина України ОСОБА_1; заяву ОСОБА_1; суд вважає, що громадянин України ОСОБА_1 своїми діями скоїв правопорушення, передбачене ч. 1 ст. 204-1 КУпАП, а саме здійснив спробу незаконного перетину державного кордону з України в Угорщину поза пунктом пропуску через державний кордон України.
Відповідно до ч. 5 ст. 38 КУпАП, адміністративне стягнення за вчинення правопорушень, передбачених статтями 204-1 і 204-2 цього Кодексу, може бути накладено протягом трьох місяців з дня їх виявлення, але не пізніше року з дня їх вчинення, а у разі вчинення таких правопорушень іноземцями або особами без громадянства, стосовно яких у встановленому законом порядку прийнято рішення про примусове повернення чи примусове видворення з України, - протягом часу, необхідного для їх виїзду з України, але не пізніше строку, визначеного законом для виїзду цих осіб з України чи забезпечення їх примусового видворення з України.
На підставі наведеного, враховуючи, що громадянин України ОСОБА_1 вперше притягується до адміністративної відповідальності, свою вину визнав, суд вважає, що до нього слід застосувати адміністративне стягнення, передбачене санкцією ч. 1 ст. 204-1 КУпАП у вигляді штрафу без конфіскації знарядь і засобів вчинення правопорушення.
Керуючись ч. 1 ст. 204-1, ст. 283, п. 1 ст. 284 КУпАП, суд
ПОСТАНОВИВ:
ОСОБА_1 визнати винним у вчиненні адміністративного правопорушення передбаченого ч. 1 ст. 204-1 КУпАП та накласти на нього стягнення у вигляді штрафу в розмірі триста пʼятдесяти неоподатковуваних мінімумів доходів громадян, що становить 5950 (пʼять тисяч девʼятсот пʼятдесят) гривень 00 копійок без конфіскації знарядь і засобів вчинення правопорушення.
Стягнути з ОСОБА_1 в дохід держави судовий збір в сумі 605 (шістсот пʼять) гривень 60 копійок.
Відповідно до ст. 308 КУпАП, у разі несплати правопорушником штрафу у строк, установлений частиною першою статті 307 цього Кодексу, постанова про накладення штрафу надсилається для примусового виконання до органу державної виконавчої служби за місцем проживання порушника, роботи або за місцезнаходженням його майна в порядку, встановленому законом.
У порядку примусового виконання постанови про стягнення штрафу за вчинення адміністративного правопорушення з правопорушника стягується подвійний розмір штрафу, визначеного у відповідній статті цього Кодексу та зазначеного у постанові про стягнення штрафу.
Постанова набирає законної сили після закінчення строку подання апеляційної скарги.
Постанова може бути оскаржена до Закарпатського апеляційного суду особою, яку притягнуто до адміністративної відповідальності або прокурором протягом десяти днів з дня винесення постанови.
Суддя Віталій МИХАЙЛИШИН
=== ENTITIES ===
1:11    CASE_NUMBER        297/4642/24
4:1     HEARING_DATE       13 листопада 2024
5:7     COURT_RAYON        Берегівського
5:36    COURT_OBLAST       Закарпатської
5:142   VPS                ІНФОРМАЦІЯ_1
6:55    CITIZEN            України
9:59    PROTOCOL           ЗхРУ № 137847
9:77    PROTO_DATE         24.10.2024
9:94    ARR_DATE           24 жовтня 2024
9:122   ARR_TIME           03 години 05 хвилин
9:164   GUARD              Група реагування
9:194   ZNAK               328
9:218   ARR_PLACE          на околиці
9:247   ARR_SETTL          Бадів
9:264   ARR_GROMADA        Батівської
9:309   ARR_RAYON          Берегівського
9:330   ARR_OBLAST         Закарпатської
9:365   DIST               100 м
9:433   CITIZEN            України
9:523   BORDER_CNTRY       Угорщину
10:25   CITIZEN            України
13:87   PROTO_DATE         24.10.2024
13:148  DET_DATE           24.10.2024
13:192  PASSPORT           України
13:250  CITIZEN            України
13:410  BORDER_CNTRY       Угорщину
15:51   CITIZEN            України
18:144  RESOLUTION         штрафу
18:238  FINE               5950
