Справа № 944/4011/24
Провадження № 3/944/2879/24
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
16.08.2024 рокум. Яворів
Суддя Яворівського районного суду Львівської області Швед Н. П., розглянувши матеріали, які надійшли з Відділу прикордонної служби «ІНФОРМАЦІЯ_1» ІНФОРМАЦІЯ_2 про притягнення до адміністративної відповідальності:
ОСОБА_1, ІНФОРМАЦІЯ_3, громадянина України, тимчасово не працюючий, проживаючого за адресою: АДРЕСА_1, за ч. 2 ст. 204-1 Кодексу України про адміністративні правопорушення, -
ВСТАНОВИЛА:
09 липня 2024 року об 16 годині 30 хвилин, ОСОБА_1, діючи у складі групи, спільно з ОСОБА_2, вчинив спробу незаконного перетину державного кордону з України в Республіку Польща, поза пунктами пропуску через державний кордон України, в напрямку 595 прикордонного знаку на околиці населеного пункту Салаші, територія Яворівської обʼєднаної територіальної громади, Яворівського району Львівської області, на ділянці відповідальності відділу прикордонної служби «ІНФОРМАЦІЯ_1», 10 липня 2024 року близько 12 год. 15 хв. був затриманий Прикордонною вартою Республіки Польща на відстані близько 4000 м. від лінії державного кордону, на околиці населеного пункту Гута-Криштальова (Республіка Польща), 10.07.2024 року був затриманий Прикордонною вартою Республіки Польща на відстані близько 4000 м від лінії державного кордону, на околиці пункту Гута-Криштальова (Республіка Польща). В подальшому 10 липня 2024 року о 14 год. 55 хв. ОСОБА_1 на підставі ст. ст. 3, 5 Угоди між Україною та Європейським Співтовариством «Про реадмісію осіб» ОСОБА_1 був переданий в рамках прискореної процедури реадмісії з Республіки Польша в Україну, в пункті пропуску «Грушів-Будомєж» представникам відділу прикордонної служби «ІНФОРМАЦІЯ_4». Своїми діями ОСОБА_1 порушив вимоги статті 9, 12 Закону України «Про Державний кордон України», тобто вчинив адміністративне правопорушення, передбачене ч. 2 ст. 204-1 КУпАП.
В судове засідання ОСОБА_1, який про дату, час та місце розгляду справи був належним чином повідомлений, не зʼявився, подав до суду заяву, в якій просить справу слухати у його відсутності, вину у вчиненому визнає, просить суворо не карати.
Дослідивши матеріали справи, приходжу до висновку, що в діях ОСОБА_1, наявний склад адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП.
Вина правопорушника ОСОБА_1 тверджується матеріалами справи, зокрема, протоколом про адміністративне затримання від 10.07. 2024 року, протоколом реадмісії допуску від 10.07. 2024 року, протоколом особистого огляду речей та вилучення речей і документів від 10.07.2024 року, рапортом в. о. начальника відділу прикордонної служби «ІНФОРМАЦІЯ_1» (типБ) ОСОБА_3, поясненнями особи, яка притягується до адміністративної відповідальності.
Дії ОСОБА_1 правильно кваліфіковані за ч. 2 ст. 204-1 КУпАП, оскільки як зʼясовано в судовому засіданні він у групі осіб вчинив спробу незаконного перетину державного кордону України поза пунктом пропуску через державний кордон України.
Обираючи адмінпорушниці міру адміністративного стягнення, враховую обставини справи, особу адмінпорушника та її ставлення до вчиненого.
Відповідно до ч. 2 ст. 7 КУпАП, провадження в справах про адміністративні правопорушення здійснюється на основі суворого додержання законності.
Згідно ч. 1 ст. 9 КУпАП адміністративним правопорушенням (проступком) визнається протиправна, винна (умисна або необережна) дія чи бездіяльність, яка посягає на громадський порядок, власність, права і свободи громадян, на встановлений порядок управління і за яку законом передбачено адміністративну відповідальність.
У відповідності до ст. 248 КУпАП розгляд справи про адміністративне правопорушення здійснюється на засадах рівності перед законом і органом (посадовою особою), який розглядає справу, всіх громадян незалежно від раси, кольору шкіри, політичних, релігійних та інших переконань, статі, етнічного та соціального походження, майнового стану, місця проживання, мови та інших обставин.
При обранні виду та міри адміністративного покарання суддя враховує характер та обставини адміністративного правопорушення, які не є тяжкими, дані про особу правопорушника, його матеріальний стан, та вважає за необхідне, визнати його винуватим у вчиненні адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП та накласти на неї стягнення у виді адміністративного штрафу.
Відповідно до ст. 40-1 КУпАП, судовий збір у провадженні по справі про адміністративне правопорушення у разі винесення судом (суддею) постанови про накладення адміністративного стягнення, сплачується особою, на яку накладено таке стягнення.
Згідно п. 5 ч. 2 ст. 4 Закону України «Про судовий збір» від 08.07.2011 року із змінами та доповненнями станом на 01.01.2024 р. встановлена ставка судового збору у разі ухвалення судом постанови про накладення адміністративного стягнення, 0,2 розміру прожиткового мінімуму для працездатних осіб, тобто стягненню підлягає судовий збір в розмірі 605 грн. 60 коп.
На підставі викладеного, керуючись ст. ст. 23-24, 268, 283-284 КУпАП, суддя, -
ПОСТАНОВИЛА:
Визнати ОСОБА_1 винуватим у вчиненні адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП та накласти на неї стягнення у виді штрафу в розмірі 500 неоподатковуваних мінімумів доходів громадян, що становить 8 500 (вісім тисяч пʼятсот) грн - в дохід держави.
С тягнути з ОСОБА_1 в користь держави судовий збір в розмірі 605 (шістсот пʼять) грн 80 коп.
На постанову може бути подана апеляційна скарга до Львівського апеляційного суду протягом десяти днів з дня її винесення.
Постанова судді у справах про адміністративне правопорушення набирає законної сили після закінчення строку подання апеляційної скарги, за винятком постанов про застосування стягнення, передбаченого статтею 32 або 32-1 цього Кодексу.
Штраф повинен бути сплачений порушником не пізніше як через пʼятнадцять днів з дня вручення йому постанови про накладення штрафу, а в разі оскарження такої постанови не пізніше як через пʼятнадцять днів з дня повідомлення про залишення скарги або подання без задоволення.
У разі несплати правопорушником штрафу у цей строк, постанова про накладення штрафу надсилається до виконання органу державної виконавчої служби в порядку, встановленому законом.
Строк виконання постанови протягом трьох місяців з наступного дня після набрання постановою законної сили.
У порядку примусового виконання постанови про стягнення штрафу за вчинення адміністративного правопорушення з правопорушника стягується подвійний розмір штрафу, визначений постановою КМ України.
СУДДЯ: Швед Н. П.
=== ENTITIES ===
1:10    CASE_NUMBER        944/4011/24
5:1     HEARING_DATE       16.08.2024
6:7     COURT_RAYON        Яворівського
6:35    COURT_OBLAST       Львівської
6:133   VPS                ІНФОРМАЦІЯ_1
7:36    CITIZEN            України
9:1     ARR_DATE           09 липня 2024
9:23    ARR_TIME           16 годині 30 хвилин
9:160   BORDER_CNTRY       Республіку Польща
9:245   ZNAK               595
9:269   ARR_PLACE          на околиці
9:298   ARR_SETTL          Салаші
9:316   ARR_GROMADA        Яворівської
9:363   ARR_RAYON          Яворівського
9:383   ARR_OBLAST         Львівської
9:460   VPS                ІНФОРМАЦІЯ_1
9:475   ARR_DATE           10 липня 2024
9:502   ARR_TIME           12 год. 15 хв.
9:532   GUARD              Прикордонною вартою Республіки Польща
9:590   DIST               4000 м.
9:628   ARR_PLACE          на околиці
9:657   ARR_SETTL          Гута-Криштальова
9:675   SETTL_CNTRY        Республіка Польща
9:695   ARR_DATE           10.07.2024
9:726   GUARD              Прикордонною вартою Республіки Польща
9:784   DIST               4000 м
9:821   ARR_PLACE          на околиці
9:839   ARR_SETTL          Гута-Криштальова
9:857   SETTL_CNTRY        Республіка Польща
9:890   READM_DATE         10 липня 2024
9:911   READM_TIME         14 год. 55 хв.
9:1125  READM_PLACE        в пункті пропуску «Грушів-Будомєж»
9:1203  VPS                ІНФОРМАЦІЯ_4
12:117  DET_DATE           10.07. 2024
12:168  READM_DATE         10.07. 2024
12:329  VPS                ІНФОРМАЦІЯ_1
23:143  RESOLUTION         штрафу
23:223  FINE               8 500
